Unnamed: 0,FID,COMID,Name,REACHCODE,GRIDCODE,Reach_Km2,UpstrmKm2,BFI,Slope,Elevation,Solar,HiCascade,Forest,Developed,Ag,Shrub,Water,AirC,Air245mid,Air245late,Air585mid,Air585late,STpresent,ST_245mid,ST_245late,ST_585mid,ST_585late,Diff_245mi,Diff_245la,Diff_585mi,Diff585la,pred_SE,CO,CHS,BT,STW,ST_HIP_km,CO_HIP_km,CH_HIP_km,ADULTp,ADULT245m,ADULT245l,ADULT585m,ADULT585l,JUVp,JUV245m,JUV245l,JUV585m,JUV585l,BTp,BT245m,BT245l,BT585m,BT585l
20,411,23809792, ,1.71E+13,479801,0.11,5.47,49.79,0.01,159.76,-0.29,0,0.08,0.19,0.69,0.01,0.02,25.63,28.69,29.75,30.09,32.11,21.19,23.37,23.79,23.92,25.15,2.18,2.6,2.73,3.96,2.42,0,0,0,0,0,0.4,0,0.65,0.41,0.36,0.37,0.24,0.77,0.6,0.56,0.54,0.43,0.03,0.01,0,0.01,0
21,412,23809794, ,1.71E+13,479938,1.35,1.35,49.4,0.01,179.21,-0.01,0,0.07,0.22,0.67,0,0.03,25.52,28.49,29.57,29.91,31.95,20.8,22.93,23.35,23.47,24.71,2.13,2.55,2.67,3.91,2.43,0,0,0,0,0,0.03,0,0.67,0.46,0.42,0.4,0.26,0.8,0.63,0.59,0.6,0.48,0.04,0.01,0.01,0.01,0
22,413,23809798, ,1.71E+13,479935,1.75,1.75,48.52,0.04,143.46,0,0,0.08,0.63,0.28,0,0,26.17,29.24,30.25,30.56,32.47,19.86,21.88,22.3,22.42,23.66,2.02,2.44,2.56,3.8,2.25,0,0,0,0,0,0,0,0.75,0.57,0.53,0.51,0.4,0.86,0.72,0.68,0.68,0.57,0.05,0.02,0.01,0.01,0
23,416,23809804, ,1.71E+13,480175,2.23,2.23,48.25,0.03,188.92,0.32,0,0.18,0.53,0.28,0.01,0,25.91,29.15,30.17,30.49,32.43,20.2,22.26,22.68,22.81,24.05,2.06,2.48,2.61,3.85,2.4,0,0,0,0,0,0,0,0.72,0.53,0.49,0.47,0.35,0.83,0.69,0.65,0.65,0.53,0.05,0.02,0.01,0.01,0
24,417,23809806, ,1.71E+13,479927,1.3,1.3,50,0.02,223.51,-0.22,0,0.02,0.15,0.79,0.03,0,25.15,28.32,29.39,29.73,31.77,20.4,22.48,22.9,23.03,24.26,2.08,2.5,2.63,3.86,2.41,0,0,0,0,0,0,0,0.7,0.52,0.46,0.45,0.32,0.83,0.65,0.64,0.62,0.51,0.05,0.01,0.01,0.01,0
25,418,23809808, ,1.71E+13,479996,4,4,49.65,0.01,187.07,-0.29,0,0.08,0.18,0.7,0.02,0.01,25.51,28.49,29.57,29.91,31.95,20.95,23.11,23.53,23.65,24.88,2.16,2.58,2.7,3.93,2.14,0,0,0,0,0,0.86,0,0.66,0.44,0.41,0.38,0.25,0.78,0.62,0.59,0.57,0.45,0.03,0.01,0,0,0
26,419,23809810, ,1.71E+13,480116,1.24,1.24,48.79,0.02,191,-0.22,0,0.02,0.31,0.66,0.01,0,25.7,29.07,30.1,30.42,32.38,20.71,22.83,23.25,23.38,24.61,2.12,2.54,2.67,3.9,2.15,0,0,0,0,0,0,0,0.69,0.49,0.43,0.43,0.28,0.8,0.65,0.6,0.6,0.48,0.03,0.01,0.01,0.01,0
27,425,23809816, ,1.71E+13,480032,2.04,2.04,50,0.05,178.23,0.01,0,0.16,0.06,0.77,0.02,0,25.65,28.89,29.94,30.28,32.28,20.86,23,23.42,23.55,24.78,2.14,2.56,2.69,3.92,2.46,0,0,0,0,0,0,0,0.66,0.46,0.42,0.4,0.28,0.79,0.63,0.59,0.58,0.47,0.04,0.01,0.01,0.01,0
28,426,23809822, ,1.71E+13,480191,0.09,6.29,50.54,0.03,173.42,-0.6,0,0.34,0.08,0.49,0.07,0.01,25.52,28.49,29.57,29.91,31.95,20.4,22.49,22.91,23.03,24.27,2.09,2.51,2.63,3.87,2.48,1,0,0,1,0.3,0.59,0,0.71,0.5,0.46,0.44,0.33,0.82,0.68,0.63,0.63,0.52,0.05,0.01,0.01,0.01,0
29,427,23809824, ,1.71E+13,480070,5.51,5.51,50.27,0.02,232.01,0.05,0,0.23,0.28,0.44,0.03,0.01,25.17,28.15,29.22,29.56,31.6,18.41,20.26,20.67,20.8,22.04,1.85,2.26,2.39,3.63,2.49,1,0,0,1,1.11,1.24,0,0.84,0.7,0.67,0.68,0.54,0.91,0.82,0.8,0.8,0.7,0.12,0.05,0.04,0.04,0.02
