"","SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
"HiCascRCA",0.114151240799881,8.61958850473243e-06,2.87684054356419e-09,1.07936504178952e-09,0.000109266543630415,0.076569514057258,0.000163162133992367,0.0181603657948015,0.621492936022278,1.86539672597519e-12,0.0863043229008795,0.373988875692476,0.0030093421693691,0.124036306114694,0.278510315560792,0.985836121500047,0.734211403032555,0.000163109065026923,0.37500446178424,0.0015104500475549,NA,0.000109229565299795,0.847793090629628,8.94487242542041e-06,1.90855179260652e-06,0.00347820866542081,0.00614751850500128,0.779113485946607,0.948845226975765,0.00347698603747526,0,0.578548986171323,0.000191906807510911,0.00620144756510244,0.289247082940846,0.288725377837206,0.000894343757283478,1.84455167175912e-05,0.000485778823416272,0.000581112927611205,4.01706659047818e-08
"DevelopRCA",0.0176657112687799,0.231416845115641,0,0,0,0.463811283179901,0,0.0130020846568222,1.12946512778045e-05,1.46696509462085e-05,8.92932010776448e-06,7.40396706611079e-07,8.51254178257932e-10,0.00019884401223158,0.295675408212,0.938719910278545,0.0254837661558538,0,1.54005628250076e-06,7.32525373692283e-10,0.000109229565299795,NA,0.0106133746558903,3.21964677141295e-14,0,0,0,0.15034244315044,6.12841118030616e-06,2.72550870761279e-11,0.00156700097132534,0.730512286350337,1.29120114600312e-08,0.000127605229083727,1.73630941624481e-07,0.00382812489501161,0,0.889546898924034,1.70576441860248e-10,0,1.71821203709399e-07
"RoadsRCA",0.00453786716413807,0.441278103451608,0.0241898681799331,0.250880068122158,0.196713743835373,0.393364097053717,0.131789986009215,0.872688839877981,0.00155554598521834,0.0764746236418068,0.0261958546210299,0.360669946666267,0.671732033390392,0.930123471462275,0.620938364787695,0.00444298829344092,0.270766875995557,0.0845326643930693,0.000440842759973137,0.554651755707545,0.847793090629628,0.0106133746558903,NA,0.0036306347290358,0.0140495191390286,0.00136916318399116,0.00460963169432871,0.300988589930327,0.000449438084683784,0.226522488599854,0.523804041154428,2.34564851986363e-08,1.58193782828775e-05,1.70880396015427e-05,3.0729945481589e-06,6.93480421576353e-06,0.00519381614918513,0.000555910444634655,2.3654243701543e-06,0.004861364484398,0.765608060072257
"VegCover",0.000544515520317645,0.439693666334837,0,4.73843186910017e-13,4.85833595575969e-13,0.366993880193138,1.48170364866473e-12,0.630168350789657,0.000278105585538757,0.000100246761876921,0.000120862396446153,4.0422401426099e-08,6.03201932847242e-11,6.78792170005771e-06,0.325755963400827,0.363463981995402,0.934112509041661,4.88498130835069e-15,7.43613896010409e-05,0.000260746746421958,8.94487242542041e-06,3.21964677141295e-14,0.0036306347290358,NA,0,1.06052309156723e-08,1.27098331859088e-12,0.331923463145236,0.000189303781003014,0.000160585648304234,0.00143524011787521,0.300053605771894,2.93098878501041e-14,6.96775970254748e-13,1.93110700010823e-05,0.0237127835306046,1.82831527695271e-12,0.490574395866575,1.5794505703326e-09,5.83977310952832e-13,1.03807622497953e-07
"VegHeight_",0.0159079058157707,0.282118605529534,0,0,0,0.900285591800684,0,0.0466176334108945,0.000210852937528649,7.86258125007322e-06,0.000354627292438625,1.27437649322104e-07,6.56386056618885e-12,2.78149717924947e-06,0.752310833601511,0.718162736367226,0.173931745303151,0,2.45138722325677e-05,0.000111522636290218,1.90855179260652e-06,0,0.0140495191390286,0,NA,1.67455604938027e-09,5.59552404411079e-14,0.749951951809477,2.75031518519597e-05,1.75550752319342e-05,0.000224109140860573,0.367963861923024,2.66453525910038e-15,2.19107929577689e-08,2.73086221129759e-05,0.0319732628439531,4.47641923528863e-13,0.364533953347057,3.62631076278319e-08,7.54951656745106e-14,3.42472006309436e-08
"DevelopBuf",0.0819916844978603,0.308361482602886,2.95381497039671e-11,1.41651135265874e-11,3.5527136788005e-15,0.672454021308292,7.73603403558809e-13,0.0205208726232873,4.07031540827774e-05,0.000896128979288369,0.000227952222744632,4.32318182541636e-06,1.84233862388083e-07,0.0026404233264512,0.169926093197429,0.797344649535047,0.0743282124471698,3.96127575186256e-13,6.21311271784553e-05,1.99529557987077e-07,0.00347820866542081,0,0.00136916318399116,1.06052309156723e-08,1.67455604938027e-09,NA,4.44089209850063e-16,0.325423476629562,0.000181969135216065,2.7195534713087e-09,0.0161168494833746,0.132288688820493,1.1983275749472e-07,0.000331369037210871,1.74353297910379e-06,0.00520225479453984,2.92679214197733e-11,0.864029022998765,5.20948983950831e-08,7.43138883763095e-12,7.1301831245929e-05
"AgBuf",0.00355914430788573,0.731153185469269,8.88178419700125e-15,6.97220059464598e-14,0,0.580959791161514,0,0.122167654974381,3.83956286462706e-05,0.00167053867873879,1.01685422420061e-05,3.86738598034952e-07,4.09399807388411e-08,0.000174232709053479,0.351726486281883,0.683207865049154,0.0424308051086961,0,1.73661256850366e-05,4.30109736313522e-05,0.00614751850500128,0,0.00460963169432871,1.27098331859088e-12,5.59552404411079e-14,4.44089209850063e-16,NA,0.40388487118845,6.8282490484961e-05,0.000112022720973659,0.0238862871503458,0.480203583881796,4.5239598733815e-09,6.18331278556816e-06,1.68975944347949e-13,2.87353677741464e-07,5.32907051820075e-15,0.121486207725435,5.55111512312578e-15,1.33226762955019e-15,2.10142876393427e-05
"BurnBuf",0.472536672583936,0.209251104460511,0.605802474861063,0.0820411364688742,0.0391781166769771,0.174484400643077,0.032252859987604,1.7898820142026e-05,0.0415826628470941,0.892414971121283,0.267236942651769,0.723828990843839,0.798907003352289,0.400694623482804,0.000636069831219332,0.113030050798691,0,0.11005443973207,0.924496348473744,0.671935903854621,0.779113485946607,0.15034244315044,0.300988589930327,0.331923463145236,0.749951951809477,0.325423476629562,0.40388487118845,NA,0.387332050423016,0.238581850660926,0.269554573970745,0.977729811772734,0.809928609915339,0.0122048877372565,0.303322882558781,0.359078486697494,0.0319677439786243,0.247348565745311,0.480157126363008,0.0293631549808613,0.725220838569394
"WetlandBuf",0.0899606816886664,0.108647143843934,0.00162770999951545,0.00197522684556306,5.5171510437102e-05,0.221749973119887,6.91406194837096e-05,0.588161417347266,0.0388112282392827,0.536123906678791,0.0136174350598508,5.37189161646801e-05,0.000240671485387978,0.00721791931486426,0.733292821775083,0.757770964368529,0.0332755376954674,1.74431973625211e-05,0,0.00402172832154957,0.948845226975765,6.12841118030616e-06,0.000449438084683784,0.000189303781003014,2.75031518519597e-05,0.000181969135216065,6.8282490484961e-05,0.387332050423016,NA,0.000658346625814987,0.828896170937907,0.661730192611861,6.62640871893494e-05,0.00353123095891661,0.000595130886963835,0.00408726299792628,7.27084541738421e-05,0.10458146247152,0.000703655926828528,2.71876530684168e-05,0.238218991306451
"LakesBuf",0.145262906721694,0.847114483403192,9.43583193357966e-07,2.77497429923557e-07,4.6971799161355e-07,0.276218024039763,1.76938578753116e-05,0.103560609302836,0.0256837511024344,0.00470356865144628,0.00982676755081791,0.0411815404917877,0.00211231116878752,0.156927315277446,0.392000521652034,0.770308199149529,0.342626424918277,1.42595634855525e-07,0.000932943672212305,2.22044604925031e-16,0.00347698603747526,2.72550870761279e-11,0.226522488599854,0.000160585648304234,1.75550752319342e-05,2.7195534713087e-09,0.000112022720973659,0.238581850660926,0.000658346625814987,NA,0.0161129506986883,0.362978526366205,8.76268439964356e-05,0.0527722479350565,0.0799542144637546,0.932605652862192,9.70857207716058e-06,0.104025238062338,0.00707548036497929,7.48373635195421e-06,0.00121076494298666
"HiCascBuf",0.269890381323087,0.00094281445612987,9.28253010901159e-07,8.22601378347443e-07,0.00156735083849791,0.184483881921274,0.00204308488412752,0.050247878949444,0.821720828831439,2.92394064071999e-07,0.0804248843190265,0.468323574526163,0.0172127657847296,0.266029940891554,0.347308099424709,0.902501240082104,0.934191855298411,0.00204264450757408,0.300814845433041,0.00204000349909483,0,0.00156700097132534,0.523804041154428,0.00143524011787521,0.000224109140860573,0.0161168494833746,0.0238862871503458,0.269554573970745,0.828896170937907,0.0161129506986883,NA,0.992121036205612,0.000443695811148004,0.026787218597198,0.481835887129612,0.290232075091694,0.00471888832400391,0.000227517619372897,0.00421471154715647,0.00280755594793813,2.03046925522088e-05
"RoadsBuf",0.224992257002103,0.669714913190862,0.787643367927269,0.72016298126345,0.631079811092183,0.358691131644909,0.915181890217784,0.322630934428668,0.0188331268024275,0.403352351492787,0.679152456916209,0.732575387463017,0.924208276667628,0.79116222857811,0.0958595648701617,0.40928953839577,0.915429184681081,0.656854357002445,0.999020891913949,0.268198053816446,0.578548986171323,0.730512286350337,2.34564851986363e-08,0.300053605771894,0.367963861923024,0.132288688820493,0.480203583881796,0.977729811772734,0.661730192611861,0.362978526366205,0.992121036205612,NA,0.0191387675519539,0.0141299191695206,0.0683585653108623,0.132264462469466,0.97684261584938,0.204120297404069,0.0625904432033861,0.906708899738305,0.938840223831561
"VegHtBuf",2.4146971190131e-05,0.497224933719165,3.85398379876278e-11,8.06836755185003e-08,3.29844196622631e-06,0.200428629103439,1.92763979756094e-06,0.802162249689408,0.000104482612763412,0.113929262579147,0.00235276505619453,0.00216956784829714,9.16556351411302e-05,0.0225498734786882,0.812063358130641,0.00740200755488551,0.642513617339104,3.06329948074335e-08,2.24292335353482e-05,0.00402480472419908,0.000191906807510911,1.29120114600312e-08,1.58193782828775e-05,2.93098878501041e-14,2.66453525910038e-15,1.1983275749472e-07,4.5239598733815e-09,0.809928609915339,6.62640871893494e-05,8.76268439964356e-05,0.000443695811148004,0.0191387675519539,NA,0,6.62038176435509e-06,0.00263015311476411,2.93587434363474e-08,0.680140911090904,9.31318044905538e-09,8.98031982110581e-09,0.00106915653489037
