"SLOPE","Solar","Elev","BFI","h2oDevelop","h2oLakesPe","h2oAgricul","h2oBurnPer","h2oRdDens","h2oHiCascP","h2oWetland","h2oVegCov","h2oVegHt","Forest21","Shrub21","h2oKm2","BurnRCA","AgricultRC","WetlandsRC","LakesRCA","HiCascRCA","DevelopRCA","RoadsRCA","VegCover","VegHeight_","DevelopBuf","AgBuf","BurnBuf","WetlandBuf","LakesBuf","HiCascBuf","RoadsBuf","VegHtBuf","VegCovBuf","MeanMaxAir","MaxAir_C","Precip_mm","SumPrecip","MeanAirJJA","WetPrecip","thermalSensitivity"
0,-0.0964,346.17,72,0,0.0069,0,0.0583,1.407,0.3043,0.0083,62.094,23.5467,0.8647,0.1203,1245.2693,0.6734,0,0,0,0,0,2.5971,28.2237,14.586,0,0,0.132,0,0,0,8.9489,10.4509,26.8159,24.9532,27.2078,1578.9104,143.9126,17.8888,1315.8477,0.185
0.0254,-0.1875,775.679,74.78,0,0.0059,0,0.2418,1.1618,0.2329,0.0025,51.4747,21.7481,0.5826,0.3933,56.4452,0.1844,0,9e-04,0,0.2999,0,0.7944,53.3459,22.8069,0,0,0.2437,0.0047,0,0.208,0.6782,23.7794,49.6592,24.4438,27.8474,1716.5024,138.6768,16.6987,1418.2471,0.12
0.0042,0.0193,445.28,67.49,0,0.0023,0,0.0454,0.9936,0.0121,0.0038,64.0681,23.7228,0.9118,0.0844,394.3782,0.124,0,0,0,0,0,2.27,62.5308,24.8616,0,0,0,0,0,0,4.7759,21.7528,49.3035,25.5771,28.1535,1620.8886,140.3165,18.0108,1319.177,0.363
0.045,-0.5749,1176.96,77,0,0.0076,0,0.3789,1.0291,0.744,0.0029,43.7811,19.3302,0.4269,0.5615,10.6688,0.0946,0,0.0077,0.0017,0.1146,0,0.985,66.7131,25.8104,0,0,0,0.0434,0,0,0,26.8908,73.8454,22.2324,25.6073,1803.4204,151.9186,14.8393,1506.4226,0.033
0.014,-0.1721,739.078,73.88,0,0.0062,0,0.1237,0.9327,0.6164,0.0072,55.464,23.424,0.7576,0.2186,189.1837,0,0,0.0013,0,0.657,0,1.5278,67.1525,27.5955,0,0,0,0.0117,0,0.0549,0.4333,30.7453,70.8784,24.6636,28.067,1668.6769,134.3683,16.8366,1366.684,0.16
0.0433,0.4008,774.129,74.23,0,0,0,0,1.2819,0.307,9e-04,65.1125,24.2347,0.9421,0.0053,34.0827,0,0,0,0,0,0,0,64.5687,24.3634,0,0,0,0,0,0,0,22.8491,64.2948,25.818,29.1575,1555.7077,124.7925,17.674,1261.2998,0.05
0.0254,-0.1875,775.679,74.78,0,0.0059,0,0.2419,1.1627,0.2328,0.0025,51.4697,21.7453,0.5826,0.3933,56.2965,0.1844,0,9e-04,0,0.2999,0,0.7944,53.3459,22.8069,0,0,0.2437,0.0047,0,0.208,0.6782,23.7794,49.6592,24.4438,27.8474,1716.5024,138.6768,16.6987,1418.2471,0.162
0.0254,-0.0125,691.726,74,0,0,0,0,1.2359,0.5032,8e-04,65.0035,24.5764,0.9733,0.0035,68.2032,0,0,0,0,0.2117,0,1.3771,68.5797,28.0898,0,0,0,0.036,0,0.2146,4.5842,25.8567,63.6029,25.7677,29.0965,1557.8642,125.178,17.6584,1261.3562,0.036
0.0098,-0.0094,715.123,72.63,0,0.0054,0,0.1073,0.9583,0.551,0.0072,56.8201,23.5254,0.7894,0.1917,218.1749,0,0,0.0077,0,0.5072,0,1.7347,70.1781,28.3584,0,0,0,0.0505,0,0.1061,0.7298,28.5208,67.9999,25.3803,28.7335,1592.2835,128.2418,17.323,1293.8874,0.182
0.0066,-0.1477,437.777,69.18,0,0.0025,0,0.0599,1.1099,0.2226,0.0047,62.3589,23.6211,0.8713,0.1106,822.3975,0.0703,0,0.0161,2e-04,0,0,2.5402,62.7509,26.9826,0,0,0.0719,0.0114,0,0,2.0277,21.3355,40.5721,25.6577,28.1873,1591.7757,137.1524,18.1297,1296.3362,0.21
0.0425,-0.6514,803.071,75.95,0,0,0,0,1.3737,0.9773,0,68.0262,24.6877,0.8657,6e-04,6.7665,0,0,0,0,0.9605,0,1.335,67.7023,24.728,0,0,0,0,0,0.6498,3.341,23.4487,64.5315,24.4644,27.8839,1672.9732,132.117,16.637,1372.001,0.005
0.0181,-0.1229,560.35,73,0,0.0031,0,0.0616,1.1605,0.469,0.006,60.7793,23.7105,0.867,0.1149,379.9153,0,0,0,0,0.0395,0,1.7828,66.4686,22.7021,0,0,0,1e-04,0,0,5.0937,16.0592,43.2909,24.236,27.4645,1634.4933,140.9338,16.604,1303.8528,0.14
0.0237,-0.1715,662.878,74,0,0.0048,0,0.0956,1.0371,0.5108,0.0069,57.7687,23.5955,0.8122,0.1742,244.9558,0,0,0.2429,0,0.1019,0,3.5745,64.1486,25.78,0,0,0,0.8801,0,0,0,19.9438,48.7088,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425,0.181
0.0358,-0.35,662.707,74.21,0,0,0,0,1.227,0.4888,8e-04,65.1861,24.6022,0.9803,0.0038,70.4473,0,0,0.5769,0,0.1429,0,7.6881,43,15.3649,0,0,0,0.6523,0,0.0396,3.5903,15.236,41.7383,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425,0.04
0.0045,0.2068,651.458,74.51,0,0.0037,0,0.0736,1.0806,0.5016,0.0059,59.5111,23.8265,0.8507,0.135,318.0764,0,0,0.1477,0,0,0,1.6236,54.943,20.1969,0,0,0,0.2901,0,0,1.354,18.6381,46.1595,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425,0.103
0.0082,-0.0888,706.462,72.47,0,0.005,0,0.0993,0.999,0.5143,0.0067,57.3656,23.5286,0.803,0.18,235.693,0,0,0,0,0.5563,0,2.6005,69.4613,28.381,0,0,0,0,0,0.5415,1.5823,29.7438,68.5084,25.6334,28.9768,1570.2479,126.4531,17.5015,1274.1147,0.184
0.0461,0.3749,302.61,68.39,0,0.0033,0,0.0109,0.4393,0,0.0085,70.1778,23.8907,0.9171,0.0759,110.323,0.2636,0,0.0013,0.0015,0,0,1.1768,60.3031,26.0908,0,0,0.1896,0,0,0,1.1846,30.7705,58.4846,24.4954,26.6751,1611.0178,157.5453,17.6182,1315.7839,0.187
0.0519,0.4039,627.359,75,0,0,0,0,1.2403,0.346,0.0063,71.5675,23.9304,0.8645,0.1206,5.8812,0,0,0,0,0,0,5.0448,52.4286,19.7619,0,0,0,0.0236,0,0,8.1257,24.9102,60.4779,25.2845,28.4825,1607.7004,131.6853,17.3165,1284.3475,0.11
0.0567,-0.4856,981.589,75.03,0,0.0172,0,0.1657,0.8586,0.7028,0.0076,53.0566,23.1696,0.7077,0.2761,48.0398,0,0,0,0,0.3605,0,2.1651,57.0897,23.5188,0,0,0,0,0,0.021,0.1923,26.7,63.9918,23.39,26.8376,1834.6604,141.3998,16.1595,1526.3468,0.081
0.0254,-0.1875,775.679,74.78,0,0.0056,0,0.2382,1.139,0.2371,0.0024,51.5908,21.8138,0.5826,0.3933,60.1808,0.1844,0,9e-04,0,0.2999,0,0.7944,53.3459,22.8069,0,0,0.2437,0.0047,0,0.208,0.6782,23.7794,49.6592,24.4438,27.8474,1716.5024,138.6768,16.6987,1418.2471,0.126
0.0403,0.3561,709.914,74,0,0,0,0,1.2832,0.2602,8e-04,65.1233,24.2597,0.9751,0.0053,40.2069,0,0,0,0,0,0,2.3573,55.7794,21.4412,0,0,0,0,0,0,2.3835,20.7047,55.3537,25.8713,29.2213,1553.4283,124.3989,17.6907,1261.1715,0.044
0.0204,-0.2111,965.474,72.45,0,0.0024,0,0.1808,0.9811,0,0.0049,57.1054,24.7419,0.5803,0.3906,11.843,0.0429,0,0,0,0,0,1.0492,64.0761,25.6447,0,0,0,0,0,0,0,26.856,69.2143,23.7676,27.0346,1731.2338,153.9565,16.4258,1445.2345,0.179
0.0225,0.1241,48.6914,48.79,0.4124,0.0011,0.294,0,4.8808,0,0.0057,17.6822,5.7284,0.2411,0.0105,22.3582,0,0.2323,0.0088,0.0023,0,0.6037,7.0372,10.2419,3.328,0.2612,0.1136,0,0.0435,8e-04,0,1.6065,13.8093,35.6126,27.6428,29.479,1189.3262,120.6506,20.2685,939.8628,0.286
0,-0.0151,270.416,63.98,0,0.006,0,0.1081,1.2627,0.2464,0.0075,60.2599,22.7326,0.7967,0.189,1537.7906,0.5699,0,0,0,0,0,1.3246,28.5645,13.9095,0,0,0.1802,0.0015,0,0,3.6345,20.0291,39.4679,24.1792,26.2285,1642.7776,169.5956,17.5135,1317.3896,0.217
0.0047,-0.3198,91.8819,53.99,0.003,0.0065,0.0052,0.1161,1.3399,0.2148,0.0067,58.4812,22.0081,0.7575,0.2172,1763.5951,0,0.3671,0.0243,0.0011,0,0.0951,2.4809,28.1754,10.5123,0.0067,0.037,0,0.1351,0.0059,0,0.5864,12.0024,33.2882,26.793,28.5665,1290.5017,151.6355,19.4377,1000.2381,0.162
0.0128,-0.0652,299.405,63.25,0,3e-04,0,0.5723,0.3931,0,3e-04,38.1796,14.3804,0.199,0.7844,116.7952,0.5865,0,8e-04,0,0,0,2.0047,33.1773,16.2359,0,0,0.3382,0.0102,0,0,1.8644,18.5408,34.6277,24.1131,26.2248,1718.3229,169.5066,17.4167,1387.2763,0.354
